Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0,0,14.9,16.733333333333334,18.566666666666666,20.4,22.233333333333334,24.066666666666663,25.9,0,0,0
Angola,0,0,20.6,22.733333333333334,24.866666666666667,27.0,29.133333333333333,31.266666666666666,33.4,0,0,0
Albania,0,0,63.6,65.56666666666666,67.53333333333333,69.5,71.46666666666667,73.43333333333334,75.4,0,0,0
United Arab Emirates,0,0,60.2,61.88333333333333,63.56666666666667,65.25,66.93333333333334,68.61666666666666,70.3,0,0,0
Argentina,0,0,61.7,62.766666666666666,63.833333333333336,64.9,65.96666666666667,67.03333333333333,68.1,0,0,0
Australia,0,0,89.7,90.66666666666667,91.63333333333334,92.6,93.56666666666666,94.53333333333333,95.5,0,0,0
Austria,0,0,87.4,88.48333333333333,89.56666666666668,90.65,91.73333333333333,92.81666666666668,93.9,0,0,0
Azerbaijan,0,0,51.9,54.18333333333333,56.46666666666666,58.75,61.03333333333333,63.31666666666666,65.6,0,0,0
Burundi,0,0,17.7,19.316666666666666,20.933333333333334,22.549999999999997,24.166666666666664,25.78333333333333,27.4,0,0,0
Belgium,0,0,86.1,87.23333333333333,88.36666666666666,89.5,90.63333333333334,91.76666666666667,92.9,0,0,0
Benin,0,0,22.7,24.05,25.4,26.75,28.1,29.450000000000003,30.8,0,0,0
Burkina Faso,0,0,21.9,23.266666666666666,24.633333333333333,26.0,27.366666666666667,28.733333333333334,30.1,0,0,0
Bangladesh,0,0,27.5,30.85,34.2,37.55,40.9,44.25,47.6,0,0,0
Bulgaria,0,0,68.0,69.53333333333333,71.06666666666666,72.6,74.13333333333334,75.66666666666667,77.2,0,0,0
Bahamas,0,0,63.4,63.9,64.4,64.9,65.4,65.9,66.4,0,0,0
Bosnia and Herzegovina,0,0,61.3,63.11666666666667,64.93333333333334,66.75,68.56666666666666,70.38333333333334,72.2,0,0,0
Belize,0,0,48.6,49.78333333333333,50.96666666666667,52.150000000000006,53.333333333333336,54.516666666666666,55.7,0,0,0
Bolivia,0,0,36.5,38.55,40.6,42.65,44.699999999999996,46.75,48.8,0,0,0
Brazil,0,0,55.3,56.71666666666666,58.13333333333333,59.55,60.96666666666666,62.38333333333333,63.8,0,0,0
Barbados,0,0,67.3,67.88333333333333,68.46666666666667,69.05,69.63333333333333,70.21666666666667,70.8,0,0,0
Brunei Darussalam,0,0,70.0,71.06666666666666,72.13333333333334,73.2,74.26666666666667,75.33333333333334,76.4,0,0,0
Bhutan,0,0,29.6,32.55,35.5,38.45,41.4,44.349999999999994,47.3,0,0,0
Botswana,0,0,39.7,41.66666666666667,43.63333333333333,45.6,47.56666666666667,49.53333333333333,51.5,0,0,0
Central African Republic,0,0,16.1,16.51666666666667,16.933333333333334,17.35,17.76666666666667,18.183333333333334,18.6,0,0,0
Canada,0,0,89.3,90.05,90.8,91.55,92.3,93.05,93.8,0,0,0
Switzerland,0,0,91.6,92.26666666666667,92.93333333333332,93.6,94.26666666666667,94.93333333333332,95.6,0,0,0
Chile,0,0,67.0,68.81666666666666,70.63333333333334,72.45,74.26666666666667,76.08333333333334,77.9,0,0,0
China,0,0,53.3,57.4,61.5,65.6,69.7,73.80000000000001,77.9,0,0,0
Côte d'Ivoire,0,0,20.7,21.8,22.9,24.0,25.1,26.200000000000003,27.3,0,0,0
Cameroon,0,0,23.8,25.15,26.5,27.85,29.2,30.549999999999997,31.9,0,0,0
"Congo, Dem. Rep.",0,0,21.9,23.933333333333334,25.966666666666665,28.0,30.03333333333333,32.06666666666666,34.1,0,0,0
Dem. Rep. Congo,0,0,22.1,23.35,24.6,25.85,27.1,28.35,29.6,0,0,0
Ukraine,0,0,64.0,65.76666666666667,67.53333333333333,69.3,71.06666666666666,72.83333333333333,74.6,0,0,0
Colombia,0,0,57.6,59.41666666666667,61.233333333333334,63.05,64.86666666666667,66.68333333333334,68.5,0,0,0
Comoros,0,0,23.4,25.0,26.599999999999998,28.2,29.8,31.4,33.0,0,0,0
Cabo Verde,0,0,41.4,43.63333333333333,45.86666666666667,48.099999999999994,50.33333333333333,52.56666666666666,54.8,0,0,0
Costa Rica,0,0,64.7,66.2,67.7,69.2,70.7,72.2,73.7,0,0,0
Cuba,0,0,67.3,68.66666666666666,70.03333333333333,71.4,72.76666666666667,74.13333333333333,75.5,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,78.0,80.05,82.1,84.15,86.2,88.25,90.3,0,0,0
