Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,27722276.0,28394813.0,29185507.0,30117413.0,31161376.0,32269589.0,33370794.0,34413603.0,35383128.0,36296400.0,37172386.0,37172386.0
Angola,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015780.0,26941779.0,27884381.0,28842484.0,29816748.0,30809762.0,30809762.0
Albania,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2866376.0
United Arab Emirates,7089487.0,7917372.0,8549988.0,8946777.0,9141596.0,9197910.0,9214175.0,9262900.0,9360980.0,9487203.0,9630959.0,9630959.0
Argentina,40080160.0,40482788.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,44494502.0
Australia,21249200.0,21691700.0,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24601860.0,24992369.0,24992369.0
Austria,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8847037.0,8847037.0
Azerbaijan,8763400.0,8947243.0,9054332.0,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9942334.0,9942334.0
Burundi,8126102.0,8397668.0,8675602.0,8958406.0,9245988.0,9540289.0,9844297.0,10160030.0,10487998.0,10827024.0,11175378.0,11175378.0
Belgium,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11422068.0,11422068.0
Benin,8696921.0,8944708.0,9199259.0,9460830.0,9729248.0,10004588.0,10286842.0,10575952.0,10872067.0,11175204.0,11485048.0,11485048.0
Burkina Faso,14689725.0,15141098.0,15605217.0,16081911.0,16571246.0,17072775.0,17586017.0,18110624.0,18646378.0,19193284.0,19751535.0,19751535.0
Bangladesh,144304167.0,145924797.0,147575430.0,149273778.0,151007807.0,152764676.0,154520167.0,156256276.0,157970840.0,159670593.0,161356039.0,161356039.0
Bulgaria,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7024216.0,7024216.0
Bahamas,343681.0,349604.0,354942.0,359577.0,363584.0,367168.0,370633.0,374206.0,377931.0,381761.0,385640.0,385640.0
Bosnia and Herzegovina,3754271.0,3735938.0,3705472.0,3661175.0,3604972.0,3542605.0,3482104.0,3429361.0,3386267.0,3351527.0,3323929.0,3323929.0
Belize,306823.0,314655.0,322464.0,330237.0,338000.0,345715.0,353366.0,360933.0,368400.0,375769.0,383071.0,383071.0
Bolivia,9721454.0,9884781.0,10048590.0,10212954.0,10377676.0,10542376.0,10706517.0,10869730.0,11031813.0,11192854.0,11353142.0,11353142.0
Brazil,192030362.0,193886508.0,195713635.0,197514534.0,199287296.0,201035903.0,202763735.0,204471769.0,206163058.0,207833831.0,209469333.0,209469333.0
Barbados,285719.0,285719.0,285719.0,285719.0,285719.0,285719.0,285719.0,285719.0,285719.0,285719.0,285719.0,285719.0
Brunei Darussalam,379421.0,383906.0,388646.0,393688.0,398989.0,404421.0,409769.0,414907.0,419800.0,424473.0,428962.0,428962.0
Bhutan,671613.0,678323.0,685503.0,693298.0,701583.0,710238.0,719056.0,727876.0,736709.0,745568.0,754394.0,754394.0
Botswana,1915639.0,1953498.0,1987105.0,2015402.0,2039551.0,2062536.0,2088614.0,2120716.0,2159944.0,2205128.0,2254126.0,2254126.0
Central African Republic,4273366.0,4337625.0,4386768.0,4418636.0,4436415.0,4447942.0,4464175.0,4493170.0,4537687.0,4596028.0,4666377.0,4666377.0
Canada,33247118.0,33628895.0,34004889.0,34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36540268.0,37058856.0,37058856.0
Switzerland,7647675.0,7743831.0,7824909.0,7912398.0,7996861.0,8089346.0,8188649.0,8282396.0,8373338.0,8451840.0,8516543.0,8516543.0
Chile,16708258.0,16886186.0,17062536.0,17233576.0,17400347.0,17571507.0,17758959.0,17969353.0,18209068.0,18470439.0,18729160.0,18729160.0
China,1324655000.0,1331260000.0,1337705000.0,1344130000.0,1350695000.0,1357380000.0,1364270000.0,1371220000.0,1378665000.0,1386395000.0,1392730000.0,1392730000.0
Côte d'Ivoire,19605569.0,20059147.0,20532950.0,21028655.0,21547188.0,22087505.0,22647683.0,23226143.0,23822714.0,24437469.0,25069229.0,25069229.0
Cameroon,19252666.0,19789919.0,20341241.0,20906388.0,21485266.0,22077298.0,22681858.0,23298368.0,23926539.0,24566045.0,25216237.0,25216237.0
"Congo, Dem. Rep.",60411195.0,62448574.0,64563854.0,66755153.0,69020747.0,71358807.0,73767447.0,76244544.0,78789127.0,81398764.0,84068091.0,84068091.0
Dem. Rep. Congo,4011486.0,4145391.0,4273731.0,4394844.0,4510198.0,4622761.0,4736974.0,4856095.0,4980999.0,5110702.0,5244363.0,5244363.0
Ukraine,46258200.0,46053300.0,45870700.0,45706100.0,45593300.0,45489600.0,45271947.0,45154029.0,45004645.0,44831135.0,44622516.0,44622516.0
Colombia,44254975.0,44750054.0,45222700.0,45663099.0,46076848.0,46497267.0,46969209.0,47520667.0,48171392.0,48901066.0,49648685.0,49648685.0
