Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,27.82,,,,,27.8,,,,,,27.8
Angola,42.7,,,,,,,,,,,
Albania,30,,,,29,,,,,,,
United Arab Emirates,,,,,,45.9,,,,,,
Argentina,45.3,44.1,44.5,42.7,41.4,41,41.7,,42,41.2,,
Australia,35.4,,34.7,,,,35.8,,,,,
Austria,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,,,,
Azerbaijan,31.8,,,,,33.7,,,,,,
Burundi,,,,,,38.6,,,,,,
Belgium,28.4,28.5,28.4,28.1,27.5,27.7,28.1,27.7,,,,
Benin,,,,43.4,,,,47.8,,,,
Burkina Faso,,39.8,,,,,35.3,,,,,
Bangladesh,,,32.1,,,,,,32.4,,,
Bulgaria,33.6,33.8,35.7,34.3,36,36.6,37.4,,,,,
Bahamas,,,,57,,,,,,,41.9,
Bosnia and Herzegovina,,,,33,,,,,,,,
Bolivia,50.8,49.2,,46.1,46.6,47.6,47.8,46.7,44.6,44,,
Brazil,54,53.7,,52.9,52.7,52.8,51.5,51.3,53.7,53.3,,
Barbados,,,,,,,,,,,32.2,
Brunei Darussalam,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,
Botswana,,60.5,,,,,,53.3,,,,
Central African Republic,56.2,,,,,,,,,,,
Canada,,,33.6,,,34,,,,,,
Switzerland,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,,,,
Chile,,49,,47.6,,47.3,,47.7,,46.6,,
China,43,,43.7,42.4,42.2,39.7,39.2,38.6,,,,
Côte d'Ivoire,43.2,,,,,,,41.5,,,,
Cameroon,,,,,,,46.6,,,,,
"Congo, Dem. Rep.",,,,48.9,,,,,,,,
Dem. Rep. Congo,,,,,42.1,,,,,,,
Ukraine,26.6,25.3,24.8,24.6,24.7,24.6,24,25.5,25,,,
Colombia,55.5,54.4,54.7,53.5,52.7,52.8,52.7,51.1,50.8,49.7,,
Comoros,,,,,,45.3,,,,,,
Cabo Verde,47.2,,,,,,,,,,,
Costa Rica,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7,48.3,,
Cuba,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,
