Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,27722276,28394813,29185507,30117413,31161376,32269589,33370794,"34,413,603",35383128,36296400,37172386,38041754
Angola,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,31825295
Albania,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2880917
United Arab Emirates,7089487,7917372,8549988,8946777,9141596,9197910,9214175,9262900,9360980,9487203,9630959,9770529
Argentina,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44780677
Australia,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369,25203198
Austria,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037,8955102
Azerbaijan,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9942334,10047718
Burundi,8126102,8397668,8675602,8958406,9245988,9540289,9844297,10160030,10487998,10827024,11175378,11530580
Belgium,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11422068,11539328
Benin,8696921,8944708,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048,11801151
Burkina Faso,14689725,15141098,15605217,16081911,16571246,17072775,17586017,18110624,18646378,19193284,19751535,20321378
Bangladesh,144304167,145924797,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,163046161
Bulgaria,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7024216,7000119
Bahamas,343681,349604,354942,359577,363584,367168,370633,374206,377931,381761,385640,389482
Bosnia and Herzegovina,3754271,3735938,3705472,3661175,3604972,3542605,3482104,3429361,3386267,3351527,3323929,3301000
Belize,306823,314655,322464,330237,338000,345715,353366,360933,368400,375769,383071,390353
Bolivia,9721454,9884781,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,11513100
Brazil,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,211049527
Barbados,0,0,0,0,0,0,0,0,0,285719,0,0
Brunei Darussalam,379421,383906,388646,393688,398989,404421,409769,414907,419800,424473,428962,433285
Bhutan,671613,678323,685503,693298,701583,710238,719056,727876,736709,745568,754394,763092
Botswana,1915639,1953498,1987105,2015402,2039551,2062536,2088614,2120716,2159944,2205128,2254126,2303697
Central African Republic,4273366,4337625,4386768,4418636,4436415,4447942,4464175,4493170,4537687,4596028,4666377,4745185
Canada,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36540268,37058856,37411047
Switzerland,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8516543,8591365
Chile,16708258,16886186,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160,18952038
China,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,1433783786
Côte d'Ivoire,19605569,20059147,20532950,21028655,21547188,22087505,22647683,23226143,23822714,24437469,25069229,25823071
Cameroon,19252666,19789919,20341241,20906388,21485266,22077298,22681858,23298368,23926539,24566045,25216237,25876380
"Congo, Dem. Rep.",60411195,62448574,64563854,66755153,69020747,71358807,73767447,76244544,78789127,81398764,84068091,86790567
Dem. Rep. Congo,4011486,4145391,4273731,4394844,4510198,4622761,4736974,4856095,4980999,5110702,5244363,5380508
Ukraine,46258200,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645,44831135,44622516,43993638
Colombia,44254975,44750054,45222700,45663099,46076848,46497267,46969209,47520667,48171392,48901066,49648685,50339443
Comoros,657229,673252,689692,706569,723871,741505,759390,777424,795592,813892,832322,850886
Cabo Verde,480842,486671,492654,498856,505235,511748,518269,524743,531146,537497,543767,549935
Costa Rica,4463125,4520740,4577378,4633086,4688000,4742107,4795396,4847804,4899345,4949954,4999441,5047561
Cuba,11236971,11226709,11225832,11236670,11257101,11282720,11306902,11324781,11335109,11339259,11338138,11333483
