Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,40.36,41.67,42.83,44.13,45.53,47,48.44,49.82,51.11,52.34,53.51,54.67
Angola,15.92,16.46,17.02,17.6,18.2,18.81,19.43,20.07,20.72,21.38,22.06,22.75
Albania,103.24,101.91,100.94,100.38,100.2,100.29,100.51,100.75,101,101.27,101.55,101.82
United Arab Emirates,82.54,92.14,99.63,104.48,107.09,108.13,108.69,109.53,110.85,112.41,114.15,115.88
Argentina,14.52,14.67,14.83,14.98,15.14,15.3,15.46,15.62,15.77,15.92,16.07,16.22
Australia,2.76,2.81,2.86,2.91,2.96,3.01,3.05,3.1,3.14,3.18,3.23,3.27
Austria,99.33,99.68,100.05,100.43,100.81,101.18,101.54,101.87,102.17,102.44,102.69,102.94
Azerbaijan,102.41,103.7,105.08,106.55,108.1,109.67,111.2,112.63,113.95,115.17,116.28,117.31
Burundi,316.99,328.34,339.96,351.78,363.8,376.07,388.68,401.69,415.11,428.91,443,457.27
Belgium,353.07,355.53,358.01,360.47,362.91,365.32,367.71,370.1,372.48,374.84,377.11,379.2
Benin,78.19,80.52,82.87,85.22,87.57,89.95,92.35,94.81,97.3,99.85,102.43,105.06
Burkina Faso,53.64,55.31,57.01,58.74,60.5,62.3,64.14,66.03,67.95,69.92,71.93,73.98
Bangladesh,1004.22,1015.42,1027.01,1039.12,1051.67,1064.54,1077.54,1090.53,1103.51,1116.49,1129.41,1142.17
Bulgaria,67.69,67.21,66.73,66.26,65.8,65.34,64.88,64.41,63.94,63.47,62.99,62.51
Bahamas,25.11,25.56,26,26.42,26.83,27.22,27.6,27.96,28.29,28.61,28.92,29.22
Bosnia and Herzegovina,74.98,74.94,74.89,74.84,74.76,74.66,74.55,74.41,74.25,74.06,73.86,73.63
Bolivia,8.74,8.88,9.03,9.17,9.32,9.47,9.61,9.76,9.91,10.06,10.21,10.36
Brazil,22.87,23.1,23.32,23.55,23.77,23.99,24.2,24.41,24.61,24.81,25,25.18
Barbados,651.04,653.73,656.12,658.11,659.77,661.15,662.39,663.54,664.64,665.66,666.61,667.5
Brunei Darussalam,65.99,67.08,68.16,69.23,70.28,71.32,72.34,73.34,74.33,75.29,76.24,77.17
Bhutan,18.1,18.44,18.76,19.07,19.37,19.66,19.93,20.18,20.42,20.65,20.87,21.08
Botswana,3.38,3.45,3.52,3.59,3.67,3.74,3.82,3.89,3.96,4.03,4.1,4.16
Central African Republic,6.87,7,7.14,7.27,7.42,7.56,7.71,7.87,8.02,8.18,8.35,8.51
Canada,3.34,3.38,3.42,3.46,3.49,3.53,3.56,3.6,3.63,3.67,3.7,3.73
Switzerland,185.19,187.39,189.65,191.95,194.3,196.63,198.87,200.98,202.94,204.75,206.43,208.04
Chile,22.02,22.26,22.5,22.75,23,23.25,23.49,23.74,23.98,24.22,24.46,24.69
China,138.73,139.48,140.23,140.98,141.73,142.48,143.8,143.89,144.55,145.17,145.74,146.25
Côte d'Ivoire,59.73,61.05,62.43,63.9,65.44,67.05,68.71,70.4,72.11,73.86,75.63,77.44
Cameroon,41.16,42.22,43.31,44.42,45.56,46.72,47.9,49.1,50.32,51.56,52.82,54.09
"Congo, Dem. Rep.",11.21,11.55,11.89,12.21,12.53,12.85,13.17,13.51,13.86,14.23,14.61,14.99
Dem. Rep. Congo,26.36,27.23,28.12,29.04,29.98,30.94,31.93,32.95,34,35.07,36.18,37.3
Ukraine,76.26,75.94,75.63,75.35,75.09,74.83,74.56,74.27,73.94,73.57,73.18,72.78
Colombia,39.33,39.78,40.22,40.65,41.06,41.46,41.86,42.24,42.61,42.98,43.33,43.67
Comoros,353.16,361.77,370.6,379.67,388.97,398.44,408.05,417.75,427.51,437.34,447.34,457.22
Cabo Verde,119.32,120.76,122.25,123.79,125.37,126.98,128.6,130.21,131.8,133.37,134.93,136.46
Costa Rica,86.88,87.83,88.95,90.03,91.08,92.1,93.1,94.09,95.05,96,96.93,97.83
Cuba,102.75,102.82,102.91,103.05,103.23,103.41,103.56,103.65,103.68,103.66,103.6,103.52
Cayman Islands,207.06,212.78,217.97,222.61,226.76,230.51,234.03,237.4,240.65,243.78,246.82,249.8
Cyprus,116.43,117.89,119.32,120.72,122.09,123.42,124.72,125.98,127.2,128.39,129.53,130.64
Czech Republic,131.84,132.62,133.21,133.56,133.7,133.71,133.67,133.68,133.74,133.83,133.93,134.01
Germany,225.71,225.31,225.07,225.04,225.19,225.43,225.66,225.78,225.76,225.63,225.42,225.18
Djibouti,34.9,35.33,35.81,36.28,36.77,37.27,37.77,38.27,38.78,39.28,39.79,40.3
Dominica,94.44,94.47,94.5,94.55,94.62,94.69,94.78,94.91,95.08,95.28,95.5,95.74
Dominican Republic,198,200.69,203.37,206.02,208.65,211.25,213.81,216.32,218.79,221.22,223.59,225.92
Algeria,14.62,14.86,15.13,15.42,15.72,16.03,16.35,16.65,16.95,17.24,17.52,17.79
Ecuador,56.35,57.31,58.25,59.2,60.15,61.09,62.03,62.97,63.91,64.85,65.78,66.71
,,,,,,,,,,,,
Egypt,78.86,80.33,81.92,83.67,85.54,87.49,89.45,91.3,93.25,95.08,96.87,98.63
Eritrea,38.27,39.06,39.88,40.73,41.6,42.51,43.46,44.45,45.51,46.61,47.76,48.93
Spain,90.52,91.5,92.11,92.32,92.18,91.82,91.43,91.16,91.05,91.06,91.15,91.25
Ethiopia,75.23,77.25,79.29,81.37,83.48,85.63,87.8,90,92.23,94.49,96.77,99.07
Finland,15.7,15.78,15.86,15.94,16.03,16.11,16.19,16.26,16.32,16.37,16.42,16.46
Fiji,46.15,46.63,47.07,47.47,47.85,48.19,48.52,48.83,49.13,49.4,49.65,49.89
France,113.48,114.08,114.67,115.22,115.76,116.27,116.78,117.28,117.77,118.27,118.75,119.23
"Micronesia, Fed. Sts.",715.33,716.85,719.4,723.18,728.11,733.94,740.36,747.06,754.02,761.28,768.75,776.41
Gabon,5.51,5.63,5.76,5.89,6.03,6.17,6.31,6.45,6.59,6.73,6.87,7.02
United Kingdom,253.23,255.41,257.45,259.29,260.97,262.53,264.08,265.65,267.28,268.92,270.57,272.2
Georgia,62.31,61.67,60.98,60.21,59.38,58.58,57.89,57.39,57.1,56.99,57.01,57.06
Ghana,96.91,99.41,101.94,104.5,107.09,109.69,112.29,114.91,117.52,120.13,122.75,125.37
Guinea,42.41,43.58,44.79,46.03,47.3,48.6,49.93,51.28,52.66,54.06,55.48,56.92
,,,,,,,,,,,,
Gambia,140.42,145.04,149.82,154.79,159.92,165.21,170.64,176.19,181.86,187.65,193.56,199.61
Guinea-Bissau,43.21,44.2,45.23,46.32,47.46,48.63,49.83,51.05,52.27,53.5,54.74,55.99
Greece,84.58,84.72,84.7,84.52,84.19,83.78,83.36,83.01,82.75,82.55,82.39,82.23
Grenada,310.16,311.14,312.45,314.11,316.02,318.15,320.3,322.35,324.3,326.1,327.81,329.42
Greenland,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Guatemala,129.55,132.41,135.29,138.21,141.14,144.1,147.08,150.09,153.12,156.17,159.25,162.34
Guam,294.51,294.86,295.27,295.73,296.29,297.05,298.18,299.73,301.76,304.22,306.98,309.8
Guyana,3.48,3.49,3.5,3.52,3.53,3.54,3.55,3.57,3.58,3.6,3.62,3.64
,,,,,,,,,,,,
"Hong Kong, China",6199.88,6238.42,6275.97,6312.24,6348.51,6386.29,6427.63,6473.87,6525.71,6582.27,6641.2,6699.24
Honduras,64.53,65.63,66.71,67.75,68.77,69.78,70.78,71.78,72.8,73.83,74.85,75.88
Croatia,76.77,76.52,76.28,76.02,75.76,75.48,75.21,74.93,74.66,74.39,74.12,73.84
Haiti,349.73,355.06,360.35,365.58,370.77,375.9,380.97,385.98,390.93,395.79,400.6,405.34
Hungary,108.04,107.87,107.65,107.37,107.04,106.68,106.3,105.93,105.57,105.21,104.85,104.49
Indonesia,123.17,124.79,126.44,128.11,129.8,131.49,133.16,134.78,136.36,137.9,139.39,140.84
India,364.15,369.36,374.47,379.48,384.39,389.23,394.03,398.83,403.62,408.4,413.15,417.86
Ireland,63.75,64.86,65.7,66.2,66.42,66.47,66.52,66.71,67.07,67.57,68.17,68.78
,,,,,,,,,,,,
Iran,41.56,42.04,42.55,43.08,43.64,44.21,44.78,45.33,45.87,46.38,46.88,47.35
Iraq,67.03,68.89,70.95,73.25,75.76,78.4,81.08,83.72,86.31,88.85,91.37,93.91
Iceland,3.02,3.07,3.11,3.14,3.16,3.18,3.19,3.21,3.23,3.25,3.27,3.29
Israel,321.42,329.09,336.22,342.7,348.64,354.23,359.74,365.38,371.2,377.13,383.12,389.1
